"Date","Category","Priority"
2025-11-08,"Technical Errors","Low"
2025-10-12,"Technical Errors","Medium"
2025-12-30,"App Issues","Low"
2026-01-10,"Delivery Delays","Low"
2026-05-30,"Other","Low"
2026-02-27,"Fraud/Scam Concerns","High"
2026-03-31,"Fraud/Scam Concerns","Medium"
2025-12-22,"Account Access","High"
2025-11-09,"Billing Issues","Low"
2026-04-09,"Information Requests","Low"
2026-04-02,"Refund Requests","Medium"
2026-05-02,"Product Defects","Medium"
2025-12-02,"Account Access","High"
2026-05-14,"Information Requests","Low"
2026-06-08,"Delivery Delays","Low"
2025-11-11,"Technical Errors","High"
2025-12-06,"Information Requests","Low"
2026-03-06,"Service Quality","Low"
2026-01-05,"Refund Requests","Low"
2025-10-15,"Website Problems","Low"
2026-04-21,"Complaints Handling","Low"
2026-05-14,"App Issues","High"
2025-12-30,"Billing Issues","Medium"
2025-12-10,"Billing Issues","High"
2025-11-02,"Service Quality","High"
2026-02-27,"Billing Issues","Low"
2025-10-25,"Billing Issues","Low"
2026-04-06,"Billing Issues","Low"
2026-03-10,"Information Requests","Low"
2025-12-11,"Customer Behaviour","Medium"
2026-01-11,"Information Requests","Low"
2025-11-01,"Data/Privacy Queries","Low"
2026-03-28,"Customer Behaviour","Low"
2025-10-17,"Refund Requests","Medium"
2025-10-27,"Account Access","Low"
2026-05-01,"Account Access","Low"
2026-04-27,"Refund Requests","High"
2025-12-20,"Customer Behaviour","High"
2026-04-07,"Payment Failures","High"
2026-01-30,"Service Quality","Low"
2025-12-23,"Information Requests","Medium"
2026-03-04,"Complaints Handling","High"
2026-04-28,"Payment Failures","Medium"
2026-03-17,"Information Requests","Low"
2026-05-29,"App Issues","Medium"
2026-04-05,"Billing Issues","Medium"
2025-10-24,"Billing Issues","Medium"
2025-11-10,"Service Quality","High"
2026-04-23,"Customer Behaviour","Low"
2026-06-05,"Delivery Delays","Medium"
2026-04-16,"Product Defects","Medium"
2026-02-06,"Delivery Delays","High"
2025-12-22,"Customer Behaviour","Low"
2026-02-24,"Delivery Delays","Medium"
2025-11-24,"Customer Behaviour","High"
2026-01-17,"Billing Issues","Medium"
2025-10-11,"Billing Issues","High"
2026-04-19,"Third-party Issues","Medium"
2025-11-29,"Information Requests","Low"
2026-06-05,"Delivery Delays","Low"
2026-04-03,"Refund Requests","Medium"
2026-05-14,"Account Access","Medium"
2026-03-29,"App Issues","Low"
2026-01-08,"Customer Behaviour","Low"
2026-03-27,"Technical Errors","Medium"
2026-03-12,"Website Problems","Low"
2025-11-06,"Information Requests","Low"
2025-11-13,"Account Access","Low"
2026-04-26,"App Issues","Medium"
2026-02-19,"Website Problems","Low"
2026-04-29,"Customer Behaviour","Low"
2026-02-27,"Account Access","Medium"
2026-05-26,"Delivery Delays","Low"
2026-01-01,"Payment Failures","High"
2026-01-19,"Technical Errors","High"
2025-12-30,"Subscription Issues","Low"
2025-10-01,"Cancellation Requests","Medium"
2025-11-11,"Refund Requests","Low"
2025-10-27,"Delivery Delays","Low"
2025-12-19,"Billing Issues","High"
2025-10-05,"Technical Errors","Low"
2025-12-27,"Billing Issues","Low"
2025-10-28,"Cancellation Requests","Medium"
2025-11-22,"Technical Errors","Medium"
2026-03-27,"Billing Issues","Low"
2026-04-26,"Product Defects","Medium"
2025-11-25,"Information Requests","Low"
2026-04-04,"Delivery Delays","Medium"
2026-03-12,"Other","Low"
2026-04-24,"Technical Errors","Low"
2026-04-09,"Billing Issues","Medium"
2026-03-21,"Complaints Handling","Medium"
2026-05-16,"Billing Issues","Low"
2026-01-26,"Delivery Delays","Medium"
2026-04-26,"Service Quality","Low"
2026-06-03,"Refund Requests","Medium"
2025-12-21,"Website Problems","Medium"
2026-04-10,"Other","Low"
2025-11-27,"Billing Issues","High"
2026-03-24,"Customer Behaviour","Low"
2026-01-30,"Delivery Delays","High"
2026-04-30,"Technical Errors","High"
2026-02-14,"Complaints Handling","Medium"
2025-10-31,"Cancellation Requests","Low"
2025-10-10,"Billing Issues","High"
2025-11-02,"Information Requests","Low"
2026-01-01,"Complaints Handling","Low"
2026-05-12,"Technical Errors","Low"
2025-11-10,"Billing Issues","Low"
2025-12-08,"Billing Issues","Low"
2026-03-25,"Complaints Handling","Medium"
2025-11-08,"Delivery Delays","Low"
2026-04-20,"Billing Issues","Low"
2025-11-22,"Billing Issues","Medium"
2026-04-25,"Account Access","High"
2026-04-17,"Account Access","High"
2026-01-02,"Account Access","Low"
2026-05-20,"Website Problems","Medium"
2026-03-11,"Product Defects","High"
2026-05-14,"Refund Requests","Low"
2026-05-08,"Service Quality","Low"
2026-05-31,"Communication Problems","Medium"
2026-03-02,"Other","Low"
2025-10-26,"Account Access","Low"
2026-03-10,"Billing Issues","Low"
2026-06-05,"Cancellation Requests","Medium"
2026-01-05,"Information Requests","Low"
2026-04-30,"Product Defects","Medium"
2026-05-14,"Customer Behaviour","High"
2026-04-07,"Account Access","Medium"
2026-05-25,"Third-party Issues","Low"
2025-10-06,"App Issues","Low"
2026-02-22,"Service Quality","Medium"
2026-02-24,"Billing Issues","Medium"
2026-02-17,"Account Access","High"
2026-03-30,"Product Defects","Medium"
2025-11-05,"Billing Issues","Low"
2025-12-30,"Other","Low"
2025-10-02,"Fraud/Scam Concerns","Medium"
2025-12-21,"Account Access","Medium"
2026-02-16,"Product Defects","Medium"
2026-04-11,"Refund Requests","High"
2026-01-03,"Billing Issues","Medium"
2026-05-22,"Information Requests","High"
2025-12-15,"Account Access","Low"
2026-04-24,"Other","High"
2025-11-20,"Account Access","High"
2026-05-25,"Billing Issues","Low"
2026-04-25,"Cancellation Requests","High"
2026-04-22,"Delivery Delays","Low"
2026-01-18,"Payment Failures","Medium"
2026-02-22,"Information Requests","Low"
2026-01-20,"Cancellation Requests","High"
2026-04-03,"Delivery Delays","High"
2025-11-22,"Cancellation Requests","Medium"
2026-05-15,"Technical Errors","High"
2026-03-02,"Billing Issues","Medium"
2026-05-20,"Complaints Handling","Low"
2026-04-16,"Website Problems","Low"
2026-05-14,"Product Defects","Low"
2025-10-26,"Data/Privacy Queries","Low"
2025-10-13,"Delivery Delays","Medium"
2025-11-12,"Cancellation Requests","Medium"
2026-05-02,"Refund Requests","Low"
2026-04-16,"Service Quality","Low"
2025-10-22,"Account Access","High"
2026-02-25,"Subscription Issues","Low"
2026-04-27,"Billing Issues","High"
2026-01-23,"Information Requests","Low"
2026-05-02,"Service Quality","Low"
2026-04-29,"Customer Behaviour","Low"
2025-11-26,"Product Defects","Low"
2026-05-13,"Service Quality","Medium"
2026-06-06,"Data/Privacy Queries","Low"
2026-03-06,"Website Problems","High"
2026-04-25,"Billing Issues","Medium"
2025-12-01,"App Issues","Medium"
2025-12-22,"Cancellation Requests","Medium"
2025-10-11,"Account Access","High"
2026-01-26,"Product Defects","Medium"
2026-02-18,"Product Defects","High"
2026-02-09,"Account Access","Medium"
2026-03-24,"Account Access","Medium"
2026-02-08,"Service Quality","Medium"
2026-01-23,"Service Quality","High"
2026-03-29,"Billing Issues","Low"
2025-11-19,"Information Requests","Low"
2025-12-08,"App Issues","Low"
2026-02-19,"Account Access","Medium"
2026-03-14,"Data/Privacy Queries","Low"
2026-06-07,"Product Defects","Low"
2026-01-19,"Delivery Delays","Low"
2025-12-20,"Product Defects","Medium"
2026-03-07,"Product Defects","Low"
2026-05-03,"Product Defects","Low"
2025-12-28,"Customer Behaviour","Medium"
2026-05-13,"Fraud/Scam Concerns","Medium"
2025-10-17,"Product Defects","Medium"
2025-12-13,"Communication Problems","Medium"
2026-02-08,"Cancellation Requests","Low"
2026-04-27,"Delivery Delays","High"
2026-01-18,"Account Access","Low"
2026-01-25,"Fraud/Scam Concerns","Medium"
2026-02-21,"Payment Failures","Low"
2026-03-19,"Third-party Issues","Low"
2025-11-20,"Payment Failures","Medium"
2025-10-29,"Communication Problems","High"
2025-11-18,"Complaints Handling","Low"
2026-03-23,"Technical Errors","High"
2026-03-12,"Service Quality","Low"
2026-03-01,"Account Access","Low"
2026-04-10,"Billing Issues","Low"
2026-03-06,"App Issues","Low"
2026-04-19,"Technical Errors","High"
2026-05-10,"Product Defects","Low"
2025-10-23,"Billing Issues","Medium"
2026-01-09,"Information Requests","Low"
2026-04-15,"Technical Errors","High"
2026-05-14,"Information Requests","Low"
2026-03-19,"Billing Issues","Medium"
2026-01-17,"Refund Requests","Low"
2026-04-18,"Information Requests","Low"
2026-04-17,"Complaints Handling","Low"
2026-04-12,"Website Problems","Medium"
2026-02-17,"Technical Errors","Low"
2026-02-13,"Billing Issues","Medium"
2026-01-24,"Complaints Handling","Low"
2025-12-24,"Subscription Issues","Low"
2025-10-11,"Customer Behaviour","Low"
2025-11-20,"Refund Requests","Medium"
2026-03-29,"Customer Behaviour","Medium"
2026-05-22,"Technical Errors","High"
2026-03-03,"Service Quality","Low"
2026-01-18,"Delivery Delays","Low"
2025-10-06,"Data/Privacy Queries","Low"
2025-12-02,"Delivery Delays","High"
2025-10-27,"Refund Requests","High"
2026-05-11,"Website Problems","Medium"
2025-12-14,"Fraud/Scam Concerns","Low"
2025-10-08,"Complaints Handling","Low"
2026-02-08,"Technical Errors","Low"
2025-12-22,"Fraud/Scam Concerns","Medium"
2026-04-18,"Data/Privacy Queries","Low"
2025-10-22,"Billing Issues","Low"
2025-12-21,"App Issues","Low"
2025-12-30,"Product Defects","Medium"
2025-10-01,"Account Access","Low"
2026-02-01,"Fraud/Scam Concerns","High"
2026-04-20,"Product Defects","High"
2026-03-15,"Technical Errors","High"
2026-05-03,"Product Defects","Medium"
2026-01-20,"Payment Failures","High"
2026-05-12,"Account Access","Medium"
2026-03-24,"Product Defects","Medium"
2026-05-21,"Service Quality","Low"
2025-10-08,"Delivery Delays","Medium"
2025-10-06,"Subscription Issues","Low"
2026-03-30,"Delivery Delays","Low"
2026-05-21,"Service Quality","Low"
2025-10-20,"Customer Behaviour","High"
2025-11-24,"Communication Problems","Low"
2026-01-24,"Technical Errors","High"
2025-12-09,"Billing Issues","Low"
2026-04-08,"Cancellation Requests","Low"
2025-11-15,"Complaints Handling","Medium"
2026-03-15,"Delivery Delays","Medium"
2026-05-18,"Billing Issues","Low"
2025-12-10,"Billing Issues","Low"
2026-02-26,"Billing Issues","Low"
2026-01-27,"Billing Issues","Low"
2026-05-22,"Billing Issues","Medium"
2025-12-23,"Customer Behaviour","High"
2026-03-31,"Billing Issues","Low"
2025-10-09,"Service Quality","Low"
2026-01-16,"Service Quality","Low"
2026-02-12,"Billing Issues","High"
2025-12-07,"Delivery Delays","Low"
2025-11-16,"Other","Low"
2026-05-27,"Website Problems","Low"
2025-12-26,"Data/Privacy Queries","Low"
2025-11-15,"Delivery Delays","Medium"
2026-03-08,"Billing Issues","Low"
2026-03-26,"Payment Failures","Low"
